a,b,c,result
37,7,56,39
23,41,45,124
88,42,22,280
94,47,89,240
26,15,64,33
59,12,2,152
21,8,46,20
7,100,36,278
99,10,78,150
50,79,82,255
39,61,20,241
94,98,37,445
32,31,28,129
27,47,20,175
49,52,4,250
30,32,63,93
31,49,60,149
26,79,21,268
97,24,60,206
50,2,1,105
92,20,95,149
1,18,93,-37
62,60,13,291
47,38,57,151
39,83,4,323
2,16,14,38
63,49,8,265
1,80,58,184
6,14,28,26
15,26,67,41
50,1,97,6
95,80,7,423
26,20,74,38
40,85,76,259
1,3,11,0
27,53,92,121
47,40,82,132
65,54,27,265
79,6,19,157
55,37,70,151
77,20,14,200
49,12,99,35
67,16,37,145
99,95,71,412
82,85,56,363
52,36,97,115
8,69,15,208
78,50,28,278
51,65,89,208
77,47,83,212
79,50,65,243
63,86,97,287
35,54,46,186
23,63,92,143
77,77,21,364
100,14,6,236
60,63,74,235
81,13,83,118
57,80,37,317
95,28,92,182
61,59,24,275
95,31,3,280
5,44,33,109
80,26,78,160
29,58,13,219
17,12,90,-20
6,87,75,198
55,49,74,183
16,100,69,263
25,13,3,86
58,2,39,83
8,23,58,27
27,98,32,316
31,76,39,251
70,86,56,342
45,26,85,83
1,48,47,99
80,29,67,180
99,46,74,262
65,4,43,99
26,35,63,94
77,67,98,257
56,97,36,367
2,96,71,221
49,84,19,331
79,3,23,144
41,53,54,187
83,70,43,333
42,41,71,136
23,49,93,100
50,46,19,219
7,2,36,-16
100,79,54,383
61,34,58,166
82,75,54,335
91,17,61,172
79,35,80,183
18,73,74,181
95,9,94,123
62,63,22,291
6,10,46,-4
62,95,45,364
44,31,60,121
7,69,25,196
72,41,85,182
24,62,7,227
80,69,15,352
59,57,16,273
34,100,58,310
46,77,94,229
74,33,13,234
61,61,25,280
65,30,79,141
13,41,18,131
98,48,6,334
64,58,53,249
23,94,85,243
50,61,64,219
21,84,16,278
53,99,54,349
79,16,62,144
65,1,53,80
97,8,30,188
38,33,29,146
49,95,13,370
95,35,95,200
36,54,57,177
13,68,80,150
49,72,39,275
81,27,95,148
3,10,32,4
69,26,31,185
67,7,87,68
26,62,61,177
6,33,29,82
63,33,22,203
73,80,32,354
67,43,64,199
12,67,67,158
45,11,83,40
8,37,39,88
77,17,85,120
100,71,37,376
16,23,91,10
82,68,8,360
24,8,89,-17
82,72,51,329
47,1,50,47
58,15,61,100
11,54,55,129
100,74,52,370
73,88,75,335
10,71,98,135
86,78,67,339
16,21,97,-2
65,17,90,91
16,40,26,126
34,31,20,141
46,63,12,269
54,31,73,128
60,40,48,192
29,81,83,218
54,36,48,168
17,22,33,67
42,41,41,166
84,91,59,382
40,31,47,126
62,82,6,364
44,98,71,311
76,89,17,402
36,51,56,169
13,9,46,7
76,71,68,297
47,97,76,309
79,26,73,163
48,50,70,176
2,70,47,167
79,67,25,334
5,99,58,249
45,39,74,133
84,64,33,327
61,17,5,168
28,29,50,93
80,78,2,392
76,99,17,432
67,73,5,348
12,6,5,37
8,55,89,92
44,50,59,179
31,3,17,54
61,22,83,105
61,72,10,328
60,100,38,382
82,61,80,267
42,54,34,212
53,33,40,165
14,41,54,97
16,52,91,97
65,28,70,144
33,64,5,253
42,96,38,334
74,9,18,157
18,41,50,109
67,28,66,152
11,97,18,295
86,91,1,444
32,50,57,157
57,5,85,44
34,70,8,270
95,62,49,327
74,100,47,401
9,70,80,148
39,86,20,316
38,53,94,141
5,87,39,232
90,61,89,274
83,10,16,180
89,53,9,328
29,43,80,107
64,69,71,264
69,43,16,251
16,36,16,124
44,37,3,196
77,76,95,287
12,61,52,155
89,66,76,300
13,88,67,223
16,42,67,91
18,69,34,209
80,99,18,439
13,54,91,97
97,54,54,302
73,77,61,316
86,89,25,414
36,61,80,175
87,57,60,285
84,16,39,177
36,31,54,111
71,53,73,228
71,74,81,283
47,38,83,125
77,67,75,280
68,26,22,192
34,63,8,249
83,78,2,398
2,73,76,147
35,89,24,313
82,91,85,352
72,60,8,316
73,71,31,328
91,6,57,143
3,36,70,44
100,48,79,265
97,1,37,160
1,86,74,186
69,33,80,157
94,45,33,290
16,84,29,255
12,49,66,105
33,56,49,185
17,67,21,214
67,5,7,142
35,40,40,150
93,16,51,183
1,88,100,166
14,84,31,249
76,64,20,324
45,68,94,200
63,91,92,307
25,59,80,147
61,99,52,367
10,47,19,142
49,12,77,57
67,26,15,197
26,32,48,100
92,6,46,156
92,9,25,186
71,50,4,288
84,87,45,384
6,12,68,-20
97,53,38,315
74,43,12,265
84,54,87,243
28,91,49,280
6,96,89,211
36,96,2,358
14,29,56,59
65,63,99,220
33,21,10,119
89,96,61,405
84,68,19,353
98,72,7,405
11,62,15,193
45,97,85,296
47,82,6,334
75,9,47,130
23,42,100,72
50,70,51,259
99,92,75,399
81,73,94,287
89,20,25,213
8,27,57,40
71,58,70,246
17,86,96,196
25,69,96,161
99,86,19,437
60,65,82,233
51,57,8,265
96,7,82,131
38,79,64,249
29,91,34,297
14,64,43,177
86,50,50,272
45,83,17,322
82,57,57,278
40,88,35,309
97,70,37,367
79,83,55,352
4,21,72,-1
89,86,42,394
55,64,18,284
91,73,25,376
94,19,82,163
86,28,52,204
55,66,64,244
14,59,84,121
64,8,98,54
58,87,86,291
8,68,63,157
52,95,14,375
51,32,97,101
88,48,79,241
99,51,55,296
7,28,51,47
55,72,61,265
92,67,43,342
54,14,30,120
95,18,66,178
21,75,30,237
87,12,52,158
99,23,41,226
1,52,47,111
40,43,98,111
45,99,26,361
65,24,4,198
29,37,13,156
62,9,1,150
50,94,24,358
2,44,75,61
15,100,85,245
17,88,91,207
11,13,46,15
74,77,79,300
26,92,10,318
84,69,13,362
9,42,24,120
71,92,9,409
85,53,97,232
53,22,69,103
33,18,77,43
35,80,71,239
51,18,22,134
10,74,20,222
57,56,92,190
32,80,89,215
56,76,87,253
40,13,71,48
17,47,69,106
11,73,26,215
35,76,85,213
25,83,81,218
55,12,33,113
51,63,90,201
14,83,78,199
92,13,83,140
32,7,36,49
46,95,22,355
82,70,14,360
45,21,42,111
48,98,74,316
27,54,94,122
56,56,40,240
71,61,69,256
59,39,98,137
83,8,21,169
14,69,56,179
2,100,69,235
49,99,95,300
71,5,37,120
22,53,26,177
81,95,62,385
58,84,7,361
18,82,48,234
88,12,37,175
80,59,97,240
88,97,10,457
15,13,18,51
31,57,100,133
51,54,12,252
28,98,54,296
31,52,13,205
92,62,95,275
87,99,30,441
14,93,22,285
72,16,5,187
98,52,65,287
66,1,69,66
22,27,49,76
57,43,38,205
9,59,81,114
66,36,91,149
88,27,58,199
48,96,76,308
1,3,46,-35
50,84,11,341
42,9,80,31
31,59,48,191
65,90,14,386
88,70,66,320
48,2,46,56
86,95,81,376
29,46,8,188
91,11,47,168
72,91,87,330
48,10,34,92
59,79,41,314
20,44,3,169
49,45,27,206
88,73,78,317
73,3,35,120
78,81,48,351
68,1,17,122
5,59,34,153
27,53,61,152
25,25,50,75
1,96,90,200
84,37,33,246
94,18,22,220
35,72,7,279
41,16,1,129
52,40,73,151
81,26,56,184
71,49,11,278
60,89,69,318
93,71,49,350
60,36,55,173
14,46,88,78
47,11,6,121
100,45,75,260
70,71,80,273
78,49,53,250
22,8,70,-2
51,83,26,325
19,74,34,226
30,17,32,79
15,44,37,125
27,82,77,223
86,54,5,329
9,30,30,78
16,68,67,169
97,79,5,426
27,81,67,230
48,24,3,165
53,26,74,110
17,39,31,120
7,31,17,90
40,42,78,128
80,43,24,265
18,40,22,134
72,37,33,222
61,41,29,216
44,65,35,248
86,62,39,319
31,22,91,37
2,51,76,81
73,98,46,394
79,75,17,366
36,41,78,117
90,34,36,246
7,65,78,131
63,97,99,318
29,16,2,104
87,20,67,167
25,83,13,286
43,90,88,268
80,80,70,330
80,83,23,386
59,17,55,114
45,16,42,96
11,26,18,82
53,19,2,161
29,16,74,32
10,50,71,99
61,11,59,96
74,93,57,370
12,14,8,58
39,89,92,253
73,73,72,293
54,7,98,31
59,71,53,278
43,3,14,81
100,14,78,164
58,13,24,131
25,21,95,18
34,29,86,69
29,52,55,159
36,73,82,209
3,36,21,93
35,43,99,100
36,57,77,166
38,11,100,9
86,62,80,278
25,80,87,203
5,68,72,142
20,78,38,236
14,40,38,110
43,47,3,224
92,85,1,438
4,57,66,113
61,5,61,76
13,5,26,15
54,86,37,329
39,31,22,149
72,59,84,237
81,69,66,303
82,48,92,216
90,36,15,273
68,38,46,204
99,12,68,166
49,35,78,125
35,76,43,255
9,68,5,217
27,85,40,269
74,49,52,243
14,72,23,221
9,38,66,66
57,73,67,266
52,80,81,263
16,73,7,244
68,73,93,262
8,17,29,38
73,44,1,277
28,4,47,21
45,77,99,222
29,56,85,141
29,31,21,130
79,6,66,110
98,9,46,177
74,39,60,205
45,7,8,103
68,19,95,98
23,39,13,150
71,7,2,161
86,26,25,225
42,2,5,85
45,9,45,72
4,52,30,134
66,21,30,165
20,21,62,41
53,18,71,89
94,29,15,260
61,63,87,224
88,99,80,393
42,33,50,133
10,12,76,-20
17,78,34,234
18,79,33,240
72,19,82,119
37,84,75,251
5,58,91,93
89,80,30,388
2,68,45,163
87,95,56,403
90,90,78,372
55,68,86,228
32,79,45,256
67,1,64,73
6,15,36,21
52,63,31,262
72,47,55,230
11,73,71,170
87,3,23,160
12,1,1,26
83,59,72,271
3,60,75,111
76,8,45,131
89,26,27,229
26,6,39,31
99,95,9,474
91,67,88,295
19,15,10,73
34,34,49,121
6,8,57,-21
98,82,82,360
82,47,24,281
15,93,13,296
59,37,69,160
66,59,35,274
72,64,10,326
92,97,73,402
16,4,29,15
63,15,85,86
6,57,12,171
62,57,13,282
90,86,7,431
12,44,77,79
27,60,53,181
3,30,34,62
88,66,59,315
53,24,42,136
19,29,92,33
87,98,62,406
6,50,84,78
62,48,33,235
52,4,75,41
8,46,41,113
62,47,83,182
14,10,69,-11
96,74,58,356
20,81,100,183
56,39,47,182
79,62,16,328
89,52,89,245
59,51,92,179
12,85,28,251
97,52,91,259
89,16,46,180
25,84,52,250
22,70,50,204
89,29,17,248
83,75,53,338
5,69,62,155
45,98,87,297
54,9,45,90
79,39,54,221
32,53,7,216
75,12,67,119
43,53,82,163
58,28,81,119
65,32,39,187
84,7,11,178
33,26,56,88
68,11,15,154
4,96,86,210
92,4,37,159
96,18,89,157
56,64,94,210
62,91,20,377
72,28,55,173
34,90,93,245
55,12,18,128
63,21,44,145
43,79,8,315
87,24,99,147
53,48,77,173
90,79,46,371
83,56,17,317
16,99,10,319
84,39,47,238
3,73,72,153
53,23,14,161
57,19,83,88
73,20,60,146
84,20,36,192
88,3,86,99
71,83,97,294
79,34,19,241
80,87,49,372
66,63,74,247
3,11,35,4
78,3,59,106
24,64,56,184
94,63,30,347
31,12,60,38
31,52,78,140
42,51,95,142
97,41,55,262
38,87,33,304
79,69,66,299
48,31,32,157
92,63,60,313
44,85,33,310
21,32,94,44
77,11,30,157
34,78,60,242
4,89,50,225
95,25,93,172
65,77,24,337
56,29,38,161
47,7,5,110
7,21,48,29
56,72,47,281
5,55,61,114
23,51,37,162
95,7,20,191
86,76,20,380
60,94,46,356
87,44,88,218
85,18,40,184
41,13,36,85
36,98,20,346
95,65,75,310
43,32,42,140
83,100,90,376
24,13,84,3
51,17,37,116
79,62,50,294
24,84,95,205
5,58,50,134
17,99,56,275
47,17,46,99
50,50,79,171
40,41,74,129
28,34,14,144
66,71,36,309
25,55,21,194
64,98,6,416
39,90,31,317
58,19,72,101
12,41,46,101
69,32,32,202
28,80,18,278
64,3,94,43
23,60,81,145
6,42,13,125
80,35,18,247
18,70,27,219
39,83,40,287
62,68,83,245
10,51,4,169
31,96,18,332
9,18,99,-27
54,17,89,70
70,49,96,191
9,50,100,68
5,44,29,113
84,51,13,308
51,18,46,110
93,8,96,114
5,5,8,17
36,25,30,117
6,21,72,3
98,18,42,208
37,53,75,158
9,100,63,255
68,96,15,409
24,21,33,78
73,35,23,228
81,85,55,362
55,23,14,165
18,65,48,183
89,60,91,267
51,29,31,158
51,7,50,73
36,39,40,149
7,28,21,77
69,16,11,175
99,60,29,349
75,36,30,228
29,38,53,119
55,13,18,131
32,13,68,35
64,70,95,243
42,64,18,258
30,93,8,331
64,57,22,277
22,21,29,78
22,87,26,279
22,31,72,65
93,94,69,399
48,2,77,25
91,44,88,226
30,55,32,193
32,6,33,49
18,29,30,93
8,81,19,240
92,73,34,369
49,11,100,31
33,89,30,303
44,60,76,192
2,26,40,42
93,81,79,350
49,7,70,49
97,58,7,361
88,87,81,356
37,12,34,76
44,25,72,91
52,46,80,162
31,31,89,66
11,2,85,-57
15,53,36,153
21,99,84,255
41,78,36,280
36,53,17,214
94,26,70,196
52,61,65,222
3,30,22,74
91,89,56,393
61,17,7,166
6,93,14,277
28,38,77,93
36,18,52,74
100,34,36,266
74,65,59,284
33,76,80,214
82,28,99,149
81,38,64,212
87,6,23,169
75,85,62,343
5,32,9,97
39,23,3,144
53,86,92,272
36,58,67,179
29,93,80,257
59,65,49,264
15,86,7,281
34,47,61,148
45,100,4,386
14,7,47,2
90,48,54,270
13,98,88,232
23,29,32,101
24,98,98,244
46,86,96,254
31,9,33,56
17,34,11,125
100,96,84,404
63,42,74,178
42,48,75,153
70,64,60,272
67,41,86,171
59,52,44,230
10,77,96,155
55,32,1,205
33,57,98,139
40,72,21,275
87,13,11,202
35,64,48,214
37,71,81,206
27,5,1,68
88,36,11,273
28,74,23,255
67,47,74,201
76,36,77,183
87,29,76,185
3,70,68,148
96,71,11,394
61,94,56,348
6,3,41,-20
29,41,40,141
79,42,3,281
21,64,76,158
25,85,42,263
86,52,42,286
1,99,29,270
68,83,79,306
5,52,43,123
42,12,46,74
79,88,84,338
70,49,89,198
5,42,63,73
28,2,92,-30
17,78,86,182
12,54,75,111
71,100,44,398
73,68,80,270
44,5,71,32
18,85,83,208
52,13,65,78
88,100,36,440
38,57,20,227
55,96,83,315
63,18,44,136
93,95,32,439
35,98,58,306
47,74,56,260
46,4,56,48
47,38,90,118
93,79,14,409
42,18,65,73
86,10,33,169
57,94,69,327
50,86,75,283
51,96,39,351
77,85,72,337
72,21,77,130
9,91,2,289
58,92,19,373
40,64,43,229
67,68,50,288
23,81,18,271
62,7,83,62
41,70,50,242
64,36,52,184
55,38,41,183
60,49,39,228
64,37,36,203
31,34,20,144
56,37,100,123
28,41,12,167
23,33,79,66
51,92,23,355
10,73,37,202
100,95,73,412
22,76,72,200
69,3,22,125
53,46,51,193
2,59,70,111
61,81,14,351
43,26,42,122
65,30,71,149
77,46,3,289
4,35,52,61
18,62,6,216
36,68,70,206
66,8,66,90
14,1,21,10
54,91,93,288
22,72,98,162
96,57,91,272
88,49,53,270
55,5,3,122
78,2,24,138
29,25,6,127
48,3,77,28
92,7,19,186
94,32,29,255
7,84,45,221
31,42,27,161
84,51,33,288
20,99,42,295
72,14,1,185
36,100,39,333
61,22,83,105
61,93,89,312
11,9,53,-4
23,34,78,70
4,67,83,126
3,68,41,169
65,11,23,140
14,40,5,143
50,24,30,142
37,94,29,327
53,42,43,189
96,74,97,317
98,33,29,266
44,15,90,43
48,14,77,61
99,18,94,158
27,12,70,20
85,59,26,321
77,72,33,337
4,77,67,172
90,98,4,470
30,49,77,130
9,65,58,155
98,88,55,405
80,46,71,227
10,54,40,142
23,51,43,156
81,7,48,135
74,45,68,215
82,17,80,135
60,81,52,311
30,6,72,6
30,73,55,224
26,16,13,87
42,81,8,319
78,24,31,197
56,31,19,186
18,77,75,192
44,31,86,95
82,3,71,102
35,70,49,231
91,86,76,364
13,58,47,153
68,83,56,329
83,98,62,398
41,53,17,224
97,68,9,389
73,25,87,134
13,7,17,30
79,31,91,160
84,42,33,261
33,49,86,127
18,23,30,75
45,15,28,107
79,39,31,244
10,22,6,80
21,21,43,62
4,96,43,253
18,16,98,-14
50,10,38,92
75,45,21,264
18,90,38,268
78,57,11,316
65,52,15,271
48,56,15,249
4,23,40,37
41,78,15,301
3,65,18,183
2,42,39,91
75,1,52,101
7,73,23,210
69,43,87,180
46,40,16,196
58,34,55,163
81,54,52,272
93,11,98,121
6,9,95,-56
68,63,29,296
25,92,96,230
38,67,49,228
77,92,57,373
57,23,30,153
64,51,47,234
89,67,70,309
35,16,35,83
81,92,58,380
85,87,48,383
80,38,95,179
64,65,45,278
89,57,31,318
67,75,64,295
32,59,23,218
60,77,17,334
56,32,41,167
9,70,36,192
87,29,70,191
27,49,63,138
95,21,13,240
76,88,89,327
85,68,15,359
62,40,90,154
7,60,63,131
73,11,49,130
96,71,31,374
60,84,47,325
10,62,66,140
95,96,68,410
33,8,92,-2
34,99,32,333
59,55,6,277
46,99,78,311
91,72,97,301
65,68,6,328
59,45,6,247
66,19,7,182
83,41,46,243
59,49,8,257
40,79,12,305
88,63,34,331
40,94,23,339
76,42,96,182
81,64,42,312
76,25,20,207
65,51,36,247
5,12,88,-42
18,51,7,182
60,73,32,307
13,22,65,27
38,39,14,179
74,93,23,404
43,28,27,143
81,4,96,78
20,21,100,3
74,11,36,145
31,11,90,5
4,59,52,133
89,32,30,244
21,49,24,165
48,52,92,160
82,56,68,264
71,37,29,224
63,86,61,323
78,85,19,392
97,42,74,246
32,69,81,190
12,29,43,68
74,78,100,282
47,27,1,174
86,25,8,239
56,59,21,268
17,48,83,95
34,14,30,80
28,20,86,30
44,68,98,194
79,8,74,108
91,43,88,223
70,66,54,284
35,78,88,216
4,60,34,154
71,51,73,222
43,36,76,118
49,27,36,143
97,14,39,197
31,7,11,72
46,22,44,114
79,32,76,178
2,33,16,87
54,40,41,187
12,11,38,19
50,98,73,321
54,21,26,145
83,53,63,262
58,91,61,328
53,33,56,149
98,40,74,242
10,22,3,83
73,58,89,231
84,93,76,371
79,4,48,122
66,75,95,262
86,73,67,324
42,29,63,108
55,67,50,261
89,62,79,285
78,29,30,213
86,23,86,155
92,88,74,374
91,46,13,307
18,3,91,-46
50,73,13,306
46,47,51,182
14,36,69,67
62,18,48,130
21,46,33,147
58,99,45,368
47,38,60,148
40,54,45,197
2,48,94,54
70,61,6,317
63,32,14,208
69,38,57,195
77,23,90,133
11,81,74,191
68,41,24,235
58,12,93,59
90,47,61,260
37,39,34,157
27,70,11,253
44,82,45,289
23,93,41,284
84,23,88,149
13,87,89,198
10,84,50,222
73,18,18,182
8,74,41,197
70,8,82,82
26,41,90,85
41,95,80,287
92,92,34,426
58,98,24,386
14,93,17,290
48,22,78,84
83,96,32,422
68,17,43,144
50,10,64,66
6,29,92,7
35,59,97,150
12,22,94,-4
53,79,6,337
16,47,20,153
18,64,8,220
39,4,92,-2
66,6,82,68
61,10,77,75
83,46,15,289
60,28,35,169
88,23,12,233
29,96,98,248
3,4,90,-72
15,11,49,14
76,24,4,220
58,55,25,256
70,60,24,296
17,92,58,252
100,83,54,395
89,42,59,245
67,32,11,219
90,8,76,128
100,57,81,290
66,40,63,189
82,81,60,347
99,87,6,453
27,17,69,36
40,64,72,200
28,35,22,139
89,45,91,222
84,1,57,114
26,23,95,26
40,97,46,325
47,92,99,271
42,12,76,44
2,71,39,178
27,59,95,136
68,28,39,181
28,97,26,321
24,91,82,239
17,62,65,155
7,86,47,225
28,34,66,92
87,50,57,267
45,29,73,104
39,50,17,211
2,43,73,60
45,92,83,283
27,2,13,47
33,32,54,108
12,52,58,122
48,34,84,114
47,87,6,349
17,17,70,15
71,38,94,162
86,98,74,392
34,28,69,83
88,95,84,377
22,10,86,-12
7,24,6,80
53,96,10,384
52,13,51,92
67,31,48,179
3,34,54,54
7,61,41,156
83,9,78,115
2,13,70,-27
33,10,97,-1
67,41,32,225
32,47,48,157
73,67,11,336
66,26,47,163
36,11,90,15
58,82,69,293
71,96,57,373
82,26,84,158
46,2,94,4
24,7,41,28
2,22,82,-12
76,7,89,84
99,88,44,418
71,83,53,338
18,9,42,21
85,77,11,390
58,14,24,134
2,56,60,112
66,13,31,140
85,43,8,291
25,46,46,142
97,82,26,414
29,71,49,222
2,10,86,-52
43,19,67,76
52,75,5,324
19,70,20,228
39,82,2,322
87,54,89,247
12,40,44,100
64,92,43,361
16,66,36,194
5,100,96,214
52,36,83,129
81,14,82,122
57,67,82,233
10,11,4,49
65,59,92,215
98,79,81,352
71,88,31,375
51,2,97,11
34,58,12,230
4,1,36,-25
98,15,96,145
71,50,6,286
95,72,95,311
8,2,97,-75
85,99,1,466
16,1,71,-36
86,95,34,423
90,99,25,452
85,76,60,338
47,13,18,115
17,98,66,262
95,2,85,111
21,88,45,261
35,31,87,76
5,18,6,58
66,89,89,310
63,62,87,225
62,73,55,288
45,26,72,96
66,31,79,146
36,58,39,207
32,76,41,251
71,58,2,314
51,5,49,68
65,21,18,175
34,12,49,55
65,28,27,187
27,65,17,232
53,67,9,298
66,96,41,379
60,81,74,289
28,26,9,125
4,30,84,14
1,79,85,154
63,26,64,140
51,79,95,244
78,85,22,389
71,23,91,120
49,49,33,212
74,89,7,408
85,96,46,412
49,95,44,339
58,23,85,100
73,76,59,315
98,50,89,257
33,92,97,245
28,8,36,44
100,35,45,260
95,75,77,338
5,10,43,-3
66,5,19,128
40,70,37,253
69,93,35,382
40,77,47,264
79,15,64,139
17,43,74,89
31,85,77,240
96,3,38,163
96,28,22,254
23,48,21,169
29,89,57,268
70,38,10,244
38,80,93,223
99,55,51,312
67,40,100,154
9,15,82,-19
80,41,67,216
68,67,46,291
27,68,59,199
77,41,72,205
75,28,30,204
55,4,80,42
60,39,28,209
56,76,87,253
81,31,26,229
23,66,68,176
93,2,67,125
7,85,19,250
37,88,20,318
95,94,49,423
93,41,61,248
20,53,91,108
57,11,47,100
24,48,53,139
6,53,66,105
87,28,61,197
72,94,44,382
39,90,81,267
90,87,40,401
53,88,62,308
26,25,91,36
62,26,92,110
90,3,3,186
23,28,23,107
4,28,29,63
96,67,75,318
46,93,60,311
84,8,74,118
26,52,29,179
51,26,80,100
33,49,43,170
14,78,94,168
53,46,81,163
22,35,3,146
60,96,49,359
63,67,51,276
56,6,66,64
4,95,92,201
68,36,43,201
77,48,27,271
33,28,39,111
82,62,9,341
22,99,19,322
38,100,86,290
89,72,19,375
72,88,87,321
55,98,51,353
27,80,57,237
39,90,26,322
27,67,28,227
1,46,21,119
51,52,83,175
52,78,88,250
47,82,63,277
85,60,86,264
56,41,11,224
13,45,88,73
36,28,9,147
91,3,11,180
43,83,33,302
64,69,10,325
45,82,3,333
25,82,2,294
74,58,17,305
42,18,33,105
80,53,29,290
30,77,78,213
4,81,65,186
86,59,89,260
43,95,7,364
37,23,70,73
18,82,79,203
86,45,71,236
55,65,41,264
1,36,2,108
15,62,68,148
57,80,68,286
59,55,32,251
93,38,74,226
27,95,60,279
69,82,56,328
83,68,100,270
34,99,49,316
88,62,28,334
41,46,72,148
33,64,47,211
12,100,99,225
88,11,70,139
33,68,17,253
63,48,94,176
19,81,86,195
23,27,19,108
81,12,99,99
90,37,54,237
45,30,18,162
2,95,44,245
7,20,33,41
34,28,34,118
68,88,4,396
23,37,38,119
78,96,22,422
70,76,6,362
16,56,62,138
68,69,7,336
8,99,90,223
77,70,4,360
59,19,56,119
49,65,9,284
76,23,32,189
15,66,28,200
91,40,93,209
26,20,29,83
15,98,36,288
72,83,47,346
17,35,57,82
74,38,89,173
94,70,69,329
99,22,1,263
10,29,99,8
95,84,3,439
81,91,53,382
5,68,37,177
78,27,29,208
56,37,41,182
74,49,65,230
94,30,99,179
9,19,56,19
69,12,84,90
29,81,6,295
5,19,93,-26
11,42,12,136
97,7,56,159
30,14,68,34
9,8,60,-18
96,39,52,257
16,76,97,163
51,78,63,273
57,23,86,97
4,59,5,180
88,10,84,122
20,27,2,119
34,66,23,243
94,81,43,388
39,44,24,186
21,72,100,158
10,27,80,21
68,69,13,330
35,31,61,102
48,70,12,294
17,75,44,215
2,58,72,106
69,15,77,106
67,38,73,175
28,23,57,68
76,94,56,378
4,16,13,43
40,52,25,211
50,41,21,202
77,30,29,215
37,59,61,190
86,48,53,263
4,52,83,81
24,30,26,112
19,39,84,71
10,48,74,90
66,18,55,131
36,92,15,333
17,76,13,249
28,19,58,55
22,87,37,268
36,63,88,173
11,88,30,256
77,10,46,138
74,14,64,126
87,23,40,203
7,5,99,-70
71,36,29,221
64,36,11,225
59,47,59,200
4,89,50,225
45,36,67,131
13,96,92,222
52,35,32,177
24,94,71,259
39,90,14,334
32,34,52,114
9,7,86,-47
86,57,92,251
35,93,47,302
87,60,55,299
9,45,61,92
11,22,22,66
71,86,97,303
78,76,54,330
57,16,61,101
68,28,42,178
51,79,46,293
66,8,22,134
97,55,57,302
51,1,79,26
27,47,95,100
60,68,28,296
82,99,49,412
47,96,48,334
39,82,87,237
28,7,91,-14
85,91,71,372
92,3,43,150
62,19,57,124
19,27,94,25
98,99,98,395
96,82,87,351
15,65,43,182
1,72,8,210
49,53,88,169
34,50,46,172
98,59,36,337
84,88,82,350
40,27,2,159
27,24,23,103
80,64,10,342
90,58,96,258
57,97,67,338
57,86,13,359
55,52,43,223
53,79,62,281
77,52,62,248
11,67,51,172
31,18,37,79
52,58,26,252
10,60,34,166
42,74,12,294
88,98,3,467
21,61,20,205
10,39,39,98
84,81,35,376
64,32,69,155
25,1,64,-11
76,48,61,235
13,39,30,113
75,66,28,320
8,10,5,41
73,28,93,137
29,47,57,142
94,46,15,311
70,10,49,121
45,38,1,203
9,73,59,178
72,96,96,336
75,42,99,177
13,64,97,121
28,17,43,64
36,29,78,81
56,90,43,339
52,29,94,97
88,3,40,145
70,99,24,413
78,59,60,273
22,18,11,87
36,2,98,-20
25,4,59,3
56,92,100,288
6,33,87,24
41,53,7,234
59,75,69,274
77,52,91,219
46,69,82,217
92,50,56,278
1,4,79,-65
99,27,44,235
18,89,5,298
50,67,88,213
33,4,100,-22
66,20,11,181
13,76,48,206
60,18,17,157
39,56,7,239
25,19,3,104
82,80,61,343
80,33,92,167
72,56,83,229
8,53,88,87
75,74,61,311
55,93,71,318
82,91,81,356
14,24,81,19
79,27,20,219
59,71,79,252
81,97,90,363
52,78,12,326
33,62,41,211
42,17,47,88
4,52,28,136
25,72,42,224
34,71,24,257
81,60,99,243
44,49,66,169
16,93,70,241
68,28,34,186
58,23,65,120
61,95,9,398
59,6,22,114
70,41,7,256
56,20,60,112
89,17,49,180
72,62,99,231
38,85,25,306
1,25,8,69
53,47,54,193
73,3,6,149
63,81,97,272
19,72,35,219
65,19,43,144
49,6,33,83
6,42,71,67
98,9,19,204
9,78,25,227
27,25,82,47
9,75,74,169
28,1,73,-14
15,83,7,272
12,98,82,236
44,78,59,263
79,88,18,404
77,61,60,277
29,38,50,122
92,24,83,173
11,69,35,194
90,49,44,283
43,56,26,228
73,29,51,182
94,51,79,262
52,70,85,229
83,51,49,270
96,52,50,298
16,86,28,262
68,73,82,273
88,25,48,203
24,29,63,72
20,38,39,115
59,39,89,146
45,98,92,292
59,74,35,305
74,6,73,93
57,66,37,275
39,34,68,112
2,97,7,288
20,64,82,150
14,99,52,273
72,11,53,124
11,75,42,205
69,95,85,338
59,46,24,232
88,73,40,355
53,50,50,206
86,22,50,188
82,43,80,213
32,80,100,204
65,26,30,178
31,74,79,205
36,59,52,197
81,44,28,266
36,74,14,280
80,89,62,365
85,63,46,313
97,43,44,279
51,69,10,299
18,84,66,222
43,19,90,53
81,5,83,94
76,97,69,374
97,89,22,439
61,51,58,217
70,20,80,120
98,15,28,213
28,90,35,291
8,99,78,235
100,53,24,335
43,43,91,124
69,41,60,201
82,81,24,383
31,61,83,162
62,99,99,322
64,70,68,270
89,15,95,128
49,89,96,269
72,23,1,212
31,98,44,312
1,65,48,149
9,16,33,33
62,5,74,65
61,76,89,261
75,37,23,238
89,47,50,269
80,42,61,225
48,9,34,89
75,75,18,357
41,3,49,42
23,13,58,27
19,84,19,271
66,58,45,261
56,26,53,137
74,64,59,281
