x,y,a,b,c,result
38,y1,63,20,61,83
26,y1,24,78,96,24
26,y1,33,47,44,33
43,y2,6,10,19,41
48,y1,27,83,22,132
32,y1,87,66,73,153
27,y1,4,96,72,4
29,y1,63,98,2,63
37,y1,69,43,50,112
49,y2,62,39,86,249
34,y1,99,52,50,151
21,y2,32,93,22,64
34,y1,28,32,75,60
21,y2,27,47,11,54
48,y2,45,10,86,186
26,y2,82,23,29,164
48,y1,14,86,96,196
58,y2,26,69,20,141
55,y2,21,18,91,151
49,y2,64,5,73,206
41,y2,8,33,29,78
20,y2,20,29,40,40
46,y1,15,8,66,89
23,y2,98,92,55,196
29,y2,85,89,30,170
43,y2,75,99,56,305
31,y2,50,85,37,185
45,y2,70,72,9,221
60,y1,77,74,98,249
30,y1,33,59,78,92
40,y2,84,22,29,219
53,y1,26,94,56,176
22,y2,83,36,60,166
43,y2,17,21,63,118
60,y2,58,15,65,196
49,y1,46,49,16,111
30,y1,26,72,52,98
50,y2,13,3,2,31
46,y2,25,26,49,125
38,y2,43,75,5,161
57,y2,44,94,97,279
27,y2,40,73,88,80
44,y1,53,72,36,161
56,y2,58,80,32,228
26,y2,18,11,5,36
35,y2,62,1,50,125
32,y1,1,48,62,49
49,y2,96,40,13,245
26,y1,34,79,44,34
59,y2,72,15,29,188
31,y2,49,17,49,115
59,y2,56,32,84,228
57,y2,57,6,92,212
22,y1,80,94,94,80
28,y2,69,27,98,138
34,y2,3,98,43,104
59,y1,28,87,36,151
46,y1,95,67,21,183
45,y1,2,58,85,145
50,y1,63,79,56,198
57,y2,26,39,50,141
60,y2,67,93,91,318
57,y1,58,45,40,143
33,y1,41,87,20,128
28,y2,4,50,47,8
51,y1,14,66,41,121
33,y1,4,46,1,50
23,y1,54,57,83,54
39,y2,92,79,61,263
54,y1,76,71,76,223
23,y2,83,61,92,166
35,y2,20,73,34,113
53,y2,33,34,54,154
22,y1,39,75,62,39
39,y1,50,11,83,61
55,y2,63,29,76,231
60,y2,31,84,87,233
55,y2,85,23,66,259
34,y2,26,98,57,150
55,y2,61,40,66,228
56,y2,50,33,74,207
44,y2,70,26,38,204
51,y1,34,65,85,184
51,y2,59,45,27,190
36,y2,38,62,10,138
32,y2,98,30,99,226
24,y1,20,33,100,20
36,y2,94,3,52,191
36,y1,65,49,82,114
46,y2,86,83,49,304
32,y1,75,24,1,99
30,y1,56,10,87,66
21,y2,87,31,65,174
56,y1,69,57,20,146
56,y2,81,10,41,213
40,y2,82,85,3,252
37,y2,54,6,40,114
52,y2,88,72,52,300
44,y2,3,19,7,32
25,y1,49,88,41,49
24,y2,33,25,28,66
37,y1,42,1,19,43
52,y2,100,23,87,310
49,y1,54,43,57,154
56,y1,43,89,34,166
54,y1,5,36,18,59
42,y2,59,20,23,161
24,y2,14,72,28,28
23,y1,63,64,88,63
58,y1,76,4,94,174
32,y1,83,91,77,174
54,y2,70,85,84,309
27,y2,19,27,29,38
35,y2,61,89,78,211
21,y2,88,72,93,176
47,y1,17,33,14,64
38,y1,50,69,64,119
26,y1,86,68,45,86
33,y1,71,38,45,109
23,y1,87,95,12,87
60,y1,64,60,39,163
25,y2,81,99,1,162
46,y1,54,14,12,80
33,y1,38,77,52,115
20,y2,73,73,92,146
23,y1,13,2,17,13
56,y2,11,59,81,162
35,y2,71,47,27,189
42,y2,6,16,7,35
54,y2,62,31,27,182
22,y1,63,100,67,63
39,y1,66,22,44,88
44,y2,94,36,61,285
35,y1,89,82,65,171
26,y1,94,71,23,94
23,y1,47,78,67,47
59,y2,90,75,93,348
57,y1,83,92,97,272
44,y2,6,40,66,118
27,y1,29,37,90,29
31,y2,44,83,100,171
28,y2,62,5,94,124
24,y2,49,80,83,98
48,y2,24,9,76,133
25,y1,84,22,3,84
38,y2,40,86,53,166
54,y2,46,88,3,183
38,y1,80,65,85,145
31,y2,26,13,97,65
58,y2,64,57,12,197
47,y2,75,42,28,220
28,y2,9,99,61,18
58,y2,22,55,74,173
55,y1,48,47,37,132
35,y2,33,93,69,159
40,y1,55,19,29,103
47,y2,40,54,35,169
58,y2,40,82,25,187
37,y2,20,7,33,47
30,y1,79,31,3,110
32,y1,76,92,74,168
33,y2,81,39,89,201
31,y1,3,7,38,10
57,y2,97,46,16,256
21,y2,51,27,21,102
41,y2,83,84,68,318
30,y1,59,79,71,138
40,y1,42,45,80,167
41,y2,56,42,62,216
59,y1,7,64,57,128
21,y1,23,89,100,23
23,y2,84,98,96,168
29,y1,42,89,88,42
22,y1,14,51,56,14
46,y2,23,7,6,59
48,y1,98,21,87,206
26,y2,89,58,6,178
22,y1,8,39,56,8
48,y2,26,62,39,153
36,y1,97,1,30,98
34,y2,22,9,59,53
30,y2,29,77,34,135
39,y2,10,96,76,116
50,y1,22,62,13,97
20,y2,57,4,72,114
20,y2,64,17,97,128
56,y1,4,97,84,185
52,y2,28,2,15,73
49,y1,86,81,79,246
45,y1,48,4,67,119
56,y1,63,35,52,150
60,y2,20,11,15,66
43,y2,74,32,53,233
50,y1,93,41,4,138
37,y1,83,50,93,133
57,y2,38,17,15,108
45,y1,77,76,35,188
32,y1,60,54,79,114
35,y1,62,64,94,126
55,y2,4,12,62,82
32,y2,77,23,33,177
51,y2,72,3,39,186
60,y2,67,4,61,199
60,y1,4,45,55,104
24,y2,88,41,59,176
29,y2,12,45,80,24
52,y1,98,37,10,145
49,y1,13,28,52,93
34,y1,5,53,45,58
26,y2,7,58,28,14
29,y1,90,2,87,90
51,y2,79,68,10,236
55,y2,38,66,50,192
48,y1,61,32,12,105
20,y1,58,26,40,58
25,y2,17,17,69,34
35,y1,10,91,9,101
50,y1,38,91,12,141
50,y2,71,67,77,286
59,y2,12,13,31,68
37,y1,54,38,3,92
43,y1,45,37,3,85
38,y1,79,85,44,164
59,y1,31,38,49,118
48,y2,60,92,87,299
55,y1,79,99,1,179
42,y1,55,29,83,167
32,y1,11,5,30,16
23,y2,31,51,100,62
59,y2,24,71,33,152
27,y2,70,91,57,140
27,y1,83,15,92,83
33,y1,80,50,11,130
41,y1,13,82,34,129
38,y2,32,73,96,137
54,y2,45,49,21,160
33,y2,34,94,29,162
39,y2,72,74,26,218
47,y2,5,9,44,63
49,y2,54,55,83,246
36,y2,29,14,2,72
47,y2,95,86,88,364
52,y2,65,57,93,280
53,y1,21,19,33,73
31,y2,59,77,4,195
49,y2,1,1,68,71
37,y1,43,69,38,112
23,y1,77,79,72,77
44,y2,15,96,38,164
46,y1,46,89,6,141
39,y2,74,44,45,192
42,y1,37,14,40,91
34,y1,28,29,72,57
28,y2,67,67,5,134
40,y1,32,91,55,178
20,y2,37,84,11,74
38,y1,50,97,85,147
42,y2,95,43,12,245
59,y1,64,38,62,164
29,y2,32,15,70,64
60,y1,93,30,20,143
24,y1,49,40,32,49
33,y2,77,73,49,227
47,y1,87,54,96,237
47,y1,38,63,73,174
34,y1,13,94,46,107
33,y1,83,39,48,122
37,y1,84,27,32,111
25,y2,52,85,81,104
22,y2,21,7,77,42
40,y2,50,17,14,131
20,y1,88,7,43,88
55,y2,49,9,62,169
45,y2,6,55,78,145
49,y1,100,86,23,209
40,y2,48,40,89,225
26,y1,52,60,69,52
58,y1,18,35,77,130
24,y1,72,8,37,72
60,y2,63,73,84,283
33,y2,57,39,2,153
29,y1,95,79,57,95
39,y1,3,84,82,87
30,y2,64,45,14,173
22,y1,14,26,93,14
45,y2,64,36,22,186
28,y2,75,72,13,150
28,y2,68,93,63,136
59,y1,9,95,5,109
36,y2,24,41,99,89
32,y2,21,91,66,133
44,y2,45,9,65,164
40,y2,90,32,44,256
46,y1,37,11,55,103
44,y2,49,9,100,207
35,y1,86,31,16,117
51,y2,77,58,29,241
31,y1,44,56,90,100
52,y2,52,66,93,263
50,y1,45,69,99,213
20,y2,64,41,75,128
39,y1,88,46,85,134
27,y2,10,3,26,20
42,y2,60,18,96,234
24,y2,47,38,39,94
58,y1,88,98,80,266
33,y2,90,66,33,246
43,y2,24,11,8,67
49,y1,60,48,54,162
35,y1,44,28,6,72
36,y2,92,21,88,205
49,y2,77,85,78,317
44,y2,19,19,44,101
55,y1,48,85,88,221
26,y2,28,40,85,56
20,y1,49,65,52,49
29,y2,11,79,56,22
59,y1,84,96,68,248
57,y2,26,55,55,162
31,y2,57,80,88,194
31,y2,48,82,72,178
36,y1,43,90,65,133
27,y1,77,82,66,77
53,y2,7,23,57,94
59,y1,100,33,20,153
38,y1,91,92,31,183
54,y2,69,98,62,298
21,y1,25,25,70,25
58,y1,99,35,61,195
60,y1,76,6,84,166
60,y1,22,35,89,146
53,y1,55,75,58,188
59,y2,45,22,33,145
26,y2,46,10,39,92
35,y2,37,96,39,170
50,y2,19,30,90,158
39,y2,86,91,75,263
33,y2,74,7,26,155
49,y1,57,4,70,131
40,y1,97,14,99,210
44,y2,91,63,20,265
23,y1,47,99,87,47
26,y1,95,71,21,95
23,y1,93,41,94,93
44,y2,71,12,87,241
36,y1,95,41,90,136
26,y1,43,39,56,43
30,y1,34,30,9,64
36,y2,37,8,82,82
42,y2,23,7,42,95
25,y1,4,27,78,4
45,y2,96,60,13,265
46,y1,40,80,57,177
49,y1,26,10,54,90
58,y1,63,27,65,155
21,y2,97,55,34,194
36,y1,19,22,53,41
54,y2,39,1,81,160
38,y2,27,52,99,106
27,y2,38,74,33,76
45,y2,33,80,48,194
31,y1,82,27,55,109
24,y1,7,45,71,7
53,y2,32,3,30,97
53,y2,83,73,85,324
35,y1,60,85,59,145
48,y1,89,70,28,187
23,y1,17,25,6,17
52,y2,4,31,99,138
43,y2,94,58,25,271
52,y1,65,61,20,146
48,y1,39,13,42,94
50,y1,22,34,80,136
50,y1,2,59,10,71
20,y1,31,32,91,31
57,y2,76,74,67,293
50,y1,42,2,65,109
20,y1,20,24,22,20
33,y1,78,32,68,110
33,y2,29,83,95,141
44,y2,69,48,5,191
30,y2,47,84,68,178
59,y1,69,38,75,182
59,y1,22,91,37,150
39,y2,49,32,81,130
58,y2,64,84,71,283
47,y1,54,77,92,223
32,y2,52,53,85,157
49,y2,6,23,66,101
45,y1,6,47,62,115
52,y2,8,48,16,80
59,y2,65,47,18,195
21,y2,93,21,22,186
21,y2,63,80,4,126
31,y1,96,47,44,143
44,y2,78,12,82,250
32,y1,52,80,32,132
35,y1,6,24,36,30
27,y2,29,31,82,58
41,y1,48,51,22,121
27,y1,79,5,8,79
21,y1,51,81,63,51
36,y1,8,73,29,81
23,y2,65,67,67,130
21,y1,17,60,14,17
31,y1,76,4,40,80
28,y2,27,22,11,54
29,y1,64,38,54,64
48,y1,14,26,52,92
54,y1,76,73,42,191
32,y2,51,98,47,200
20,y2,40,4,100,80
49,y2,63,60,49,235
28,y1,43,28,28,43
59,y1,57,33,79,169
57,y2,11,77,80,179
38,y2,65,91,54,221
51,y1,62,64,64,190
57,y1,39,64,49,152
50,y1,74,14,5,93
36,y1,88,97,38,185
28,y2,84,80,6,168
24,y2,52,92,52,104
51,y1,91,92,27,210
21,y2,15,1,43,30
33,y2,20,74,55,114
44,y1,77,77,62,216
44,y1,44,78,78,200
41,y2,55,50,68,228
24,y2,7,84,15,14
44,y2,81,58,13,233
59,y1,91,31,38,160
45,y2,94,24,64,276
39,y1,9,27,45,36
41,y2,7,60,60,134
55,y2,83,8,84,258
51,y1,25,76,29,130
30,y2,23,55,93,101
40,y1,78,71,72,221
27,y2,65,12,48,130
28,y2,23,92,14,46
58,y2,49,91,92,281
23,y2,1,43,22,2
26,y2,55,89,9,110
38,y1,23,54,58,77
57,y1,19,9,97,125
21,y2,20,20,55,40
26,y1,77,11,68,77
59,y2,8,39,26,81
60,y1,95,6,56,157
33,y1,56,70,53,126
36,y1,57,53,60,110
20,y1,93,60,15,93
33,y2,1,45,83,47
49,y2,68,59,33,228
55,y1,92,61,18,171
24,y1,83,73,12,83
35,y1,85,93,86,178
56,y2,79,91,88,337
36,y2,42,18,66,102
38,y2,89,99,84,277
52,y1,27,78,50,155
41,y1,40,69,2,111
44,y2,64,11,76,215
31,y1,35,75,85,110
48,y2,29,51,27,136
32,y1,59,97,8,156
57,y1,89,48,67,204
50,y2,49,16,11,125
49,y2,47,35,59,188
29,y1,72,53,80,72
22,y1,34,13,80,34
59,y2,95,16,52,258
35,y1,41,74,59,115
37,y1,97,44,20,141
52,y1,63,99,87,249
45,y2,90,27,43,250
60,y1,52,82,86,220
43,y2,19,95,70,203
21,y2,99,100,76,198
20,y1,14,54,71,14
57,y2,23,31,86,163
41,y1,90,84,36,210
44,y1,50,96,16,162
54,y1,50,24,83,157
49,y2,89,70,50,298
38,y1,8,92,52,100
47,y2,87,29,59,262
52,y2,95,54,31,275
28,y1,59,71,98,59
27,y2,23,92,63,46
58,y2,23,64,62,172
55,y2,82,2,11,177
44,y2,42,2,11,97
60,y2,41,16,43,141
21,y1,99,86,3,99
33,y1,56,73,8,129
52,y1,5,88,94,187
21,y1,85,82,70,85
26,y1,93,71,90,93
29,y2,91,80,55,182
29,y1,63,70,20,63
54,y2,17,98,89,221
28,y1,97,3,74,97
28,y1,25,30,53,25
21,y1,73,48,96,73
58,y2,63,31,56,213
60,y1,43,46,2,91
22,y1,31,13,39,31
56,y1,48,64,69,181
33,y1,41,98,3,139
41,y1,19,29,23,71
39,y1,94,84,21,178
46,y2,48,41,4,141
32,y2,57,28,15,142
33,y2,19,80,9,118
43,y2,89,65,63,306
45,y2,8,31,55,102
24,y1,46,47,14,46
50,y2,57,15,72,201
58,y1,67,35,62,164
23,y1,43,12,98,43
40,y1,100,91,29,220
35,y2,63,26,86,152
25,y1,5,30,9,5
29,y1,35,23,26,35
57,y1,37,90,20,147
24,y1,78,24,80,78
46,y2,47,56,56,206
38,y2,7,47,57,61
41,y1,58,81,8,147
34,y1,16,100,22,116
28,y2,22,45,1,44
57,y2,52,33,86,223
33,y2,66,62,51,194
42,y1,71,53,31,155
59,y2,78,3,88,247
38,y1,47,30,73,77
21,y1,69,36,30,69
51,y2,56,64,69,245
26,y1,88,78,11,88
33,y2,55,20,58,130
24,y2,15,88,1,30
36,y2,71,10,74,152
35,y2,10,75,49,95
29,y2,3,100,76,6
21,y2,17,91,85,34
35,y2,20,3,62,43
34,y1,84,23,40,107
44,y1,22,14,6,42
48,y1,93,92,22,207
51,y2,13,11,1,38
52,y1,80,86,36,202
49,y2,20,42,5,87
21,y1,42,21,66,42
30,y2,65,76,92,206
57,y2,95,29,77,296
53,y1,47,59,9,115
60,y1,61,72,8,141
24,y1,81,39,95,81
44,y1,79,91,83,253
34,y2,71,85,67,227
54,y1,1,47,82,130
33,y1,14,85,51,99
22,y1,18,18,24,18
37,y2,6,58,67,70
33,y1,33,37,58,70
52,y1,52,37,58,147
34,y2,34,75,46,143
38,y2,10,12,79,32
52,y1,41,41,34,116
56,y1,20,44,77,141
49,y2,9,31,29,78
54,y1,62,80,36,178
26,y2,92,90,34,184
28,y1,83,70,38,83
41,y1,9,10,85,104
36,y1,31,12,80,43
41,y2,62,62,48,234
58,y1,11,10,94,115
27,y1,4,43,78,4
34,y1,63,58,31,121
36,y1,10,60,56,70
51,y1,75,20,54,149
45,y1,35,93,20,148
56,y1,51,78,77,206
30,y1,30,69,7,99
39,y1,95,36,47,131
56,y2,98,35,88,319
21,y1,59,94,94,59
23,y2,54,32,57,108
34,y2,48,100,86,196
55,y1,17,38,58,113
24,y1,65,20,70,65
34,y2,28,74,21,130
44,y1,5,72,64,141
58,y2,59,7,51,176
57,y1,61,1,45,107
34,y2,58,39,44,155
31,y2,94,74,9,262
46,y2,58,91,74,281
48,y1,5,12,85,102
53,y1,97,53,93,243
22,y1,93,42,94,93
25,y2,22,93,67,44
41,y1,98,70,9,177
30,y1,85,6,54,91
48,y2,67,56,15,205
48,y2,63,28,81,235
28,y2,54,15,71,108
23,y1,98,59,15,98
42,y2,25,40,11,101
23,y1,44,72,45,44
59,y1,51,82,65,198
54,y2,69,31,61,230
28,y1,72,69,37,72
42,y2,74,29,47,224
25,y2,40,46,22,80
46,y2,49,98,41,237
31,y2,41,84,66,166
47,y1,53,58,32,143
46,y1,65,41,56,162
44,y1,99,74,71,244
58,y2,82,61,3,228
27,y2,69,31,54,138
39,y2,95,37,71,227
34,y2,6,48,45,60
24,y1,8,93,89,8
35,y1,94,57,58,151
41,y2,81,84,27,273
49,y2,43,32,69,187
49,y1,35,66,7,108
51,y1,30,62,24,116
60,y2,32,18,66,148
20,y1,50,53,47,50
42,y1,66,68,71,205
36,y1,11,70,53,81
44,y2,75,93,1,244
41,y1,49,68,15,132
47,y2,27,15,17,86
35,y2,77,55,49,209
39,y1,40,22,8,62
60,y1,44,97,34,175
25,y2,58,65,28,116
40,y1,86,4,33,123
44,y2,28,59,50,165
51,y1,18,34,81,133
28,y2,95,15,82,190
27,y1,50,4,66,50
60,y1,14,43,68,125
38,y1,8,35,83,43
21,y1,25,85,15,25
53,y2,31,44,58,164
43,y1,90,41,69,200
60,y1,30,1,85,116
52,y2,64,76,22,226
20,y2,96,24,52,192
26,y2,79,66,47,158
21,y2,85,63,36,170
24,y2,86,48,19,172
25,y1,77,36,86,77
43,y1,77,47,90,214
60,y1,44,5,59,108
20,y2,71,99,14,142
41,y2,98,98,93,387
33,y1,67,46,79,113
28,y2,39,30,40,78
37,y1,78,85,85,163
22,y1,12,27,87,12
44,y2,47,47,74,215
28,y2,5,99,39,10
52,y1,19,61,7,87
20,y1,91,37,55,91
37,y2,15,29,1,59
33,y2,59,59,80,177
42,y1,66,76,34,176
43,y1,67,2,7,76
38,y1,5,83,46,88
45,y2,63,43,11,180
46,y1,26,54,93,173
44,y2,55,1,52,163
44,y2,44,68,40,196
39,y2,26,76,55,128
38,y2,8,60,98,76
35,y2,25,76,85,126
60,y2,64,86,17,231
24,y1,7,66,95,7
39,y1,8,46,16,54
21,y1,33,52,54,33
29,y2,77,20,65,154
28,y1,10,27,36,10
45,y1,22,99,14,135
40,y1,79,77,45,201
57,y1,66,22,93,181
25,y2,8,59,40,16
20,y2,78,76,66,156
50,y1,21,48,73,142
40,y1,77,16,20,113
50,y2,88,56,94,326
43,y2,99,53,14,265
45,y2,73,14,73,233
40,y2,87,35,74,283
56,y1,17,6,10,33
52,y1,2,70,42,114
53,y2,81,55,9,226
22,y2,2,25,86,4
49,y2,11,63,43,128
45,y1,36,47,43,126
48,y2,81,14,17,193
55,y1,78,74,60,212
57,y2,32,25,24,113
48,y1,66,76,9,151
42,y2,70,69,55,264
55,y2,69,93,20,251
48,y2,54,91,1,200
25,y2,58,58,62,116
43,y1,20,76,86,182
22,y2,15,34,78,30
37,y2,70,55,54,195
40,y1,81,75,92,248
27,y1,46,95,59,46
49,y2,59,23,65,206
45,y1,55,37,49,141
41,y2,62,26,92,242
47,y1,88,73,24,185
37,y1,82,55,14,137
48,y1,30,21,69,120
39,y1,33,7,52,40
33,y2,91,99,16,281
54,y1,85,64,8,157
56,y2,84,72,14,254
48,y2,21,2,98,142
59,y2,42,43,14,141
46,y2,94,67,99,354
41,y1,4,84,89,177
57,y2,97,5,66,265
31,y2,23,24,26,70
28,y1,45,82,23,45
26,y1,38,41,12,38
23,y2,10,15,100,20
43,y2,8,61,99,176
27,y2,10,67,37,20
38,y2,74,29,66,177
32,y1,13,11,57,24
56,y1,82,11,55,148
54,y1,76,28,73,177
56,y1,32,27,8,67
22,y2,11,33,70,22
58,y1,86,88,7,181
29,y2,8,94,72,16
22,y1,28,88,20,28
26,y1,84,48,92,84
38,y2,10,79,51,99
22,y1,89,85,15,89
46,y2,96,32,46,270
50,y1,65,32,99,196
26,y1,48,21,62,48
52,y2,8,25,73,114
34,y2,40,37,79,117
24,y2,69,88,82,138
27,y1,42,31,45,42
58,y2,11,98,8,128
52,y2,24,22,56,126
51,y1,90,33,28,151
26,y1,100,87,23,100
39,y2,47,61,50,155
26,y2,17,33,30,34
24,y1,67,30,94,67
38,y1,5,100,45,105
55,y2,7,70,40,124
42,y2,13,41,41,108
22,y2,26,1,17,52
22,y2,33,48,93,66
52,y2,51,73,11,186
35,y2,85,5,22,175
37,y2,60,72,24,192
40,y1,8,62,31,101
23,y1,26,65,13,26
33,y1,14,71,51,85
42,y1,93,45,71,209
27,y2,78,83,32,156
56,y2,50,79,2,181
57,y1,3,87,73,163
58,y2,85,61,7,238
49,y1,6,32,97,135
56,y1,83,50,95,228
47,y1,3,25,82,110
24,y1,82,19,83,82
48,y1,37,35,88,160
41,y1,31,60,3,94
22,y2,12,64,79,24
33,y1,66,60,80,126
45,y2,51,71,22,195
32,y2,49,64,95,162
23,y2,67,11,26,134
26,y2,24,100,88,48
24,y2,29,73,91,58
51,y1,61,47,35,143
57,y2,21,38,45,125
35,y1,54,46,89,100
31,y1,86,74,88,160
34,y2,99,12,93,210
23,y1,7,91,59,7
50,y1,43,25,97,165
37,y1,19,11,50,30
40,y2,90,100,69,349
34,y1,60,76,99,136
54,y2,34,46,24,138
20,y1,72,47,73,72
58,y2,97,94,6,294
54,y1,74,9,39,122
57,y1,37,53,95,185
60,y1,41,54,87,182
48,y1,43,72,55,170
40,y2,38,43,57,176
40,y1,14,35,37,86
35,y1,13,96,17,109
48,y1,40,85,78,203
50,y1,54,24,22,100
48,y1,95,82,4,181
39,y1,83,46,91,129
42,y2,5,44,24,78
59,y1,66,2,28,96
27,y1,97,72,51,97
46,y1,69,69,34,172
28,y1,77,91,72,77
57,y2,4,49,1,58
38,y2,41,3,33,85
27,y1,4,39,14,4
60,y2,11,46,34,102
45,y2,98,69,59,324
30,y2,5,70,36,80
48,y1,54,31,10,95
50,y2,96,27,70,289
30,y1,53,20,24,73
54,y1,27,27,48,102
43,y1,53,86,6,145
32,y1,82,76,32,158
40,y2,44,66,47,201
40,y2,26,79,62,193
55,y1,31,72,93,196
57,y1,58,27,30,115
38,y1,40,31,75,71
29,y2,96,7,32,192
49,y1,93,10,30,133
32,y2,53,97,3,203
32,y2,97,1,37,195
24,y2,46,85,69,92
29,y2,66,50,92,132
36,y1,95,29,41,124
30,y1,65,87,20,152
29,y1,55,51,67,55
36,y2,65,19,87,149
45,y1,2,45,53,100
33,y1,99,75,15,174
53,y1,23,52,50,125
37,y2,86,14,24,186
45,y2,96,51,13,256
57,y1,33,43,62,138
43,y1,21,74,56,151
53,y1,56,40,63,159
38,y2,99,91,78,289
26,y2,91,2,73,182
43,y1,69,83,9,161
38,y1,69,54,69,123
54,y2,62,46,7,177
42,y2,4,78,81,167
40,y1,14,19,50,83
25,y1,99,24,15,99
47,y2,4,4,47,59
56,y1,100,7,51,158
41,y2,70,82,61,283
30,y2,100,15,57,215
37,y1,48,90,48,138
54,y1,37,100,65,202
57,y1,15,71,55,141
21,y1,13,59,27,13
20,y1,19,54,89,19
29,y2,99,33,27,198
59,y1,88,22,82,192
54,y2,47,84,22,200
36,y2,2,95,63,99
59,y2,82,71,55,290
53,y1,22,93,55,170
56,y1,91,79,31,201
49,y2,28,21,16,93
40,y2,86,5,47,224
57,y1,43,60,33,136
57,y2,24,81,46,175
47,y1,44,32,13,89
29,y2,35,21,27,70
30,y1,94,55,69,149
60,y1,82,76,90,248
58,y2,26,62,64,178
48,y1,42,91,12,145
57,y2,94,31,65,284
37,y2,97,61,11,255
56,y1,99,12,82,193
35,y2,3,64,19,70
30,y2,68,28,23,164
39,y2,34,16,3,84
38,y1,43,66,98,109
32,y2,97,18,41,212
54,y1,52,8,42,102
47,y2,64,41,52,221
24,y2,62,68,67,124
43,y2,45,12,66,168
21,y2,56,91,37,112
55,y1,6,35,48,89
48,y2,11,63,62,147
20,y2,63,54,56,126
39,y1,80,28,54,108
41,y2,93,87,85,358
47,y1,92,45,35,172
29,y2,7,77,71,14
60,y1,31,35,56,122
45,y1,100,3,46,149
29,y2,24,40,18,48
22,y1,35,58,76,35
33,y1,69,94,5,163
33,y2,40,72,58,152
45,y2,98,76,58,330
53,y1,2,25,55,82
50,y2,42,99,48,231
22,y2,49,35,50,98
23,y2,68,21,66,136
26,y1,26,41,24,26
36,y2,32,69,94,133
32,y1,59,88,83,147
39,y2,55,84,72,194
34,y1,89,31,87,120
44,y1,66,73,37,176
59,y1,36,5,5,46
54,y1,75,84,85,244
57,y2,15,79,43,152
39,y2,80,22,39,182
57,y1,31,8,36,75
42,y1,43,45,66,154
60,y1,78,75,92,245
31,y1,43,40,70,83
28,y2,11,41,81,22
55,y1,57,99,50,206
50,y2,93,11,33,230
30,y2,9,46,34,64
22,y2,73,80,45,146
33,y1,18,100,48,118
46,y2,79,18,62,238
20,y1,66,28,97,66
45,y2,27,24,9,87
50,y1,80,72,84,236
39,y2,12,32,90,56
31,y2,84,17,86,185
25,y1,4,86,64,4
21,y1,83,80,76,83
25,y1,87,4,82,87
35,y2,70,37,17,177
56,y2,97,87,14,295
43,y2,21,3,53,98
45,y1,38,8,90,136
48,y1,81,2,30,113
46,y2,42,80,57,221
46,y2,89,13,10,201
43,y1,76,77,57,210
37,y1,8,33,65,41
39,y2,29,14,58,72
57,y2,32,43,6,113
53,y2,60,48,43,211
42,y1,92,36,2,130
50,y1,72,27,51,150
52,y1,77,86,28,191
31,y2,65,77,85,207
27,y2,31,41,93,62
56,y1,38,38,26,102
39,y2,60,25,56,145
36,y1,79,27,100,106
31,y2,29,75,83,133
22,y2,25,30,23,50
52,y2,100,82,16,298
39,y1,23,77,22,100
41,y2,20,97,60,197
35,y2,75,30,41,180
35,y1,12,70,72,82
59,y1,10,35,70,115
33,y2,87,60,53,234
32,y2,36,53,72,125
24,y2,1,94,38,2
35,y1,18,10,70,28
21,y2,53,98,87,106
21,y1,1,42,74,1
44,y1,5,40,97,142
58,y1,33,46,6,85
54,y1,92,12,80,184
47,y1,98,11,68,177
40,y2,95,16,89,295
56,y1,27,83,59,169
30,y2,17,8,75,42
28,y2,59,93,88,118
54,y2,55,42,18,170
48,y2,89,77,73,328
41,y1,22,92,64,178
46,y2,94,23,51,262
37,y1,93,16,32,109
32,y1,61,28,22,89
47,y2,78,50,28,234
55,y1,81,24,100,205
23,y2,22,77,24,44
60,y2,42,74,65,223
33,y2,18,94,2,130
48,y2,18,60,5,101
23,y2,60,70,9,120
31,y2,45,46,49,136
45,y1,98,9,6,113
29,y2,25,55,85,50
48,y2,54,53,86,247
31,y2,91,32,14,214
56,y2,77,32,18,204
40,y2,42,2,4,90
44,y1,39,86,59,184
27,y2,100,14,27,200
48,y1,3,64,18,85
30,y2,56,36,100,148
47,y2,1,98,84,184
60,y2,61,30,69,221
50,y1,63,50,98,211
48,y2,84,90,67,325
23,y1,49,26,29,49
48,y2,36,36,92,200
56,y2,12,23,55,102
58,y2,56,38,6,156
59,y2,59,5,16,139
30,y2,100,32,80,232
59,y1,15,98,11,124
57,y2,86,47,75,294
59,y2,22,75,68,187
24,y2,59,71,74,118
36,y1,20,21,81,41
26,y2,57,41,77,114
52,y2,37,92,85,251
46,y2,89,84,27,289
55,y2,40,53,29,162
30,y2,52,31,16,135
57,y1,82,30,90,202
26,y1,73,95,74,73
37,y2,64,95,23,223
51,y2,37,73,40,187
51,y1,45,86,22,153
41,y2,40,46,67,193
51,y2,93,91,95,372
26,y2,55,60,75,110
37,y1,77,8,38,85
43,y2,85,32,75,277
48,y2,65,70,55,255
37,y2,27,32,37,86
46,y1,34,5,1,40
46,y1,90,17,38,145
56,y2,89,24,47,249
28,y2,30,73,10,60
58,y2,92,50,26,260
47,y2,79,17,79,254
53,y1,17,66,8,91
57,y1,29,20,33,82
35,y1,77,78,54,155
52,y1,27,74,97,198
27,y2,59,36,45,118
37,y1,81,67,42,148
30,y1,83,33,88,116
27,y2,55,44,37,110
36,y2,61,17,94,139
40,y2,85,43,96,309
31,y2,46,42,40,134
39,y1,83,54,98,137
24,y2,27,86,92,54
45,y2,73,71,87,304
24,y1,60,29,90,60
49,y1,17,97,91,205
58,y1,87,21,61,169
