x,a,b,c,result
30,47,91,62,138
47,15,31,75,121
57,95,36,47,178
41,81,80,2,163
29,11,40,57,11
26,27,71,38,27
44,40,47,99,186
35,74,43,30,117
45,33,79,61,173
37,71,19,49,90
51,19,67,36,122
33,80,33,15,113
30,72,33,83,105
32,47,63,17,110
36,55,52,3,107
36,57,100,22,157
24,52,12,77,52
22,88,17,58,88
39,52,25,48,77
28,54,84,52,54
51,29,19,32,80
51,81,33,13,127
57,20,13,57,90
43,63,49,94,206
31,80,77,85,157
45,29,56,32,117
59,45,56,49,150
56,3,49,97,149
46,47,12,94,153
60,91,17,65,173
39,91,39,56,130
50,6,53,20,79
60,8,59,65,132
43,26,8,100,134
42,32,59,5,96
25,51,66,93,51
49,42,20,23,85
49,32,70,31,133
33,47,32,36,79
42,98,76,53,227
41,77,7,10,94
48,88,45,16,149
36,64,43,3,107
32,5,61,38,66
21,7,8,48,7
59,23,50,1,74
45,8,87,61,156
32,74,29,63,103
46,98,68,74,240
45,34,4,7,45
37,21,22,79,43
32,95,92,38,187
27,77,46,54,77
58,40,57,11,108
33,84,55,56,139
44,9,55,25,89
46,12,98,59,169
55,72,97,34,203
22,35,29,27,35
31,40,53,15,93
36,68,94,56,162
30,32,3,90,35
33,20,53,38,73
40,53,10,74,137
40,60,65,49,174
60,5,46,20,71
44,69,17,60,146
39,92,31,28,123
46,40,92,41,173
51,59,14,16,89
48,26,3,59,88
43,18,33,98,149
38,24,32,32,56
20,49,44,68,49
46,50,38,12,100
21,85,60,21,85
30,12,95,98,107
48,32,80,16,128
33,35,9,71,44
32,22,86,57,108
31,55,14,48,69
29,74,40,10,74
31,33,26,36,59
30,67,73,34,140
30,11,40,75,51
32,48,51,53,99
32,41,17,62,58
25,14,36,61,14
37,44,14,40,58
24,24,57,17,24
20,40,32,33,40
33,61,39,4,100
41,33,19,27,79
60,84,100,95,279
42,82,65,92,239
35,18,8,69,26
47,35,80,58,173
20,48,32,51,48
52,65,33,57,155
49,68,12,2,82
27,41,8,69,41
54,71,23,19,113
21,16,8,92,16
24,49,84,12,49
58,79,67,35,181
29,27,67,4,27
34,67,99,42,166
23,35,2,89,35
41,35,6,53,94
23,26,5,8,26
23,47,82,29,47
56,84,4,11,99
28,59,46,42,59
22,99,90,12,99
43,60,63,63,186
54,5,46,99,150
43,58,36,97,191
39,11,37,97,48
51,23,64,35,122
37,60,67,4,127
31,56,50,83,106
59,44,95,38,177
37,40,58,43,98
60,20,5,36,61
40,9,95,14,118
54,14,43,1,58
51,19,74,13,106
49,4,38,36,78
40,1,80,12,93
34,60,31,8,91
20,64,34,35,64
41,67,12,16,95
28,70,88,27,70
45,47,13,42,102
36,51,51,89,102
50,8,93,23,124
24,40,58,53,40
38,50,69,37,119
54,41,65,56,162
54,56,86,33,175
25,91,69,68,91
44,63,86,24,173
31,22,7,18,29
38,35,7,34,42
31,36,91,1,127
47,53,16,43,112
48,78,21,28,127
54,85,40,51,176
39,39,5,33,44
54,83,31,76,190
35,45,69,46,114
24,90,34,85,90
50,95,94,33,222
34,19,84,16,103
33,32,78,56,110
46,73,18,12,103
39,54,46,1,100
60,32,39,14,85
45,89,39,12,140
51,76,71,94,241
20,31,22,83,31
51,29,75,66,170
48,69,67,12,148
34,83,87,49,170
42,20,55,62,137
35,31,2,72,33
55,16,48,13,77
53,30,7,34,71
42,17,65,88,170
23,97,2,99,97
24,17,37,38,17
21,73,34,16,73
36,79,49,90,128
51,74,49,39,162
21,98,3,81,98
60,6,48,33,87
49,12,92,83,187
27,75,92,67,75
49,22,14,2,38
31,29,59,5,88
43,80,55,37,172
52,94,99,82,275
53,32,47,46,125
60,50,87,41,178
23,10,85,100,10
35,45,97,49,142
59,33,21,99,153
27,69,60,95,69
24,15,79,92,15
37,87,3,16,90
46,7,67,52,126
41,37,89,96,222
29,40,95,78,40
43,33,67,21,121
26,16,47,19,16
23,12,18,83,12
51,53,40,86,179
51,21,2,34,57
37,100,20,73,120
35,80,61,85,141
23,59,41,72,59
60,13,40,80,133
26,65,64,66,65
59,73,85,40,198
35,54,93,58,147
20,89,16,20,89
28,98,14,7,98
41,20,48,49,117
50,90,25,11,126
34,87,66,89,153
46,48,92,98,238
35,52,42,9,94
45,9,95,75,179
46,15,76,14,105
54,55,100,5,160
27,67,68,57,67
53,95,24,94,213
24,22,10,30,22
21,52,100,3,52
43,15,17,26,58
47,47,28,85,160
20,74,99,23,74
42,20,54,9,83
53,32,77,90,199
24,96,2,42,96
59,14,32,7,53
25,41,7,53,41
57,34,100,44,178
49,38,61,14,113
38,48,9,59,57
41,4,43,5,52
26,40,71,3,40
60,9,34,49,92
40,80,36,38,154
46,26,72,16,114
21,48,20,63,48
23,25,58,35,25
41,28,59,22,109
47,77,69,83,229
28,61,39,58,61
43,91,86,62,239
20,83,76,43,83
54,33,16,5,54
50,61,40,11,112
30,97,98,17,195
56,80,19,11,110
58,51,6,71,128
56,5,45,2,52
34,37,64,22,101
38,10,72,27,82
38,3,18,23,21
22,50,44,38,50
45,3,58,70,131
33,80,12,95,92
37,33,21,63,54
35,55,13,31,68
49,34,44,78,156
34,24,62,15,86
59,88,11,97,196
57,40,14,6,60
51,27,81,76,184
49,40,22,76,138
33,98,65,56,163
57,89,68,94,251
43,83,67,99,249
54,98,83,51,232
48,60,39,60,159
29,6,62,23,6
32,31,46,72,77
60,7,35,1,43
53,2,97,44,143
31,30,55,49,85
42,85,18,11,114
53,98,83,6,187
45,12,46,32,90
24,37,67,59,37
45,10,7,91,108
57,87,98,3,188
27,33,52,68,33
29,48,15,94,48
36,6,85,47,91
27,90,70,14,90
48,23,30,20,73
26,40,82,32,40
36,23,90,12,113
47,31,3,12,46
55,77,99,56,232
50,13,79,10,102
38,52,10,42,62
32,21,21,94,42
28,27,76,44,27
25,21,2,23,21
54,83,7,68,158
50,95,29,6,130
49,93,25,22,140
57,49,21,16,86
52,28,91,70,189
52,49,92,27,168
42,73,100,85,258
29,13,51,61,13
47,80,11,16,107
58,60,24,77,161
30,5,71,28,76
47,10,29,96,135
48,100,73,59,232
47,62,46,33,141
21,44,18,46,44
41,15,20,1,36
47,24,2,87,113
23,68,51,20,68
49,6,71,93,170
46,33,62,46,141
48,50,22,12,84
30,34,52,50,86
55,93,40,99,232
50,43,77,64,184
29,68,29,88,68
46,36,36,50,122
43,70,25,14,109
58,51,52,37,140
42,9,76,14,99
40,31,48,3,82
60,60,22,66,148
31,36,32,77,68
35,49,67,25,116
38,99,11,92,110
30,51,63,98,114
39,46,66,94,112
43,13,99,2,114
48,69,14,21,104
48,13,78,28,119
26,65,31,82,65
36,12,9,31,21
25,6,10,68,6
34,68,43,27,111
31,27,72,92,99
32,34,92,90,126
60,34,98,99,231
43,57,19,86,162
49,29,2,14,45
43,33,90,100,223
37,64,87,51,151
55,61,26,64,151
50,46,6,46,98
46,19,39,31,89
31,72,39,66,111
55,18,1,88,107
41,65,72,45,182
26,67,29,93,67
27,42,95,79,42
21,21,19,8,21
56,32,40,73,145
44,5,69,41,115
41,39,16,89,144
23,67,76,68,67
53,55,88,56,199
22,47,20,66,47
60,34,82,75,191
24,5,66,53,5
25,33,40,13,33
28,99,58,100,99
59,86,94,39,219
25,36,82,35,36
58,92,86,2,180
26,13,83,12,13
40,30,8,25,63
49,68,58,60,186
57,44,26,2,72
27,28,89,69,28
52,87,63,60,210
20,40,57,15,40
57,60,48,70,178
58,89,52,37,178
26,82,20,84,82
41,33,39,99,171
55,6,10,30,46
38,60,66,2,126
24,22,9,53,22
46,100,1,63,164
59,68,39,50,157
37,64,46,44,110
44,35,24,10,69
20,53,12,29,53
33,83,54,40,137
55,90,43,99,232
38,89,15,66,104
42,77,29,41,147
54,63,71,34,168
41,4,80,43,127
22,41,80,45,41
23,55,17,53,55
43,90,11,12,113
24,88,27,93,88
31,34,43,57,77
27,88,16,6,88
34,14,2,84,16
25,24,12,96,24
27,41,52,81,41
43,64,44,49,157
20,37,96,49,37
48,67,45,27,139
46,92,87,8,187
59,36,16,53,105
25,15,98,56,15
37,61,84,18,145
24,73,99,16,73
40,98,92,71,261
43,69,77,24,170
42,61,63,37,161
55,20,14,78,112
25,44,36,26,44
47,98,86,12,196
44,71,18,18,107
25,51,9,10,51
40,3,47,64,114
30,17,70,35,87
55,68,25,21,114
38,5,27,31,32
32,88,45,1,133
23,58,87,99,58
56,57,10,83,150
36,14,11,21,25
54,15,50,32,97
26,58,14,27,58
28,57,41,61,57
53,16,61,16,93
31,91,89,13,180
34,21,88,100,109
58,77,36,7,120
59,78,98,46,222
47,92,43,31,166
32,65,8,90,73
40,100,42,60,202
49,50,2,30,82
26,80,77,2,80
21,39,12,63,39
28,30,28,76,30
24,95,10,66,95
54,59,63,18,140
41,94,42,8,144
58,74,69,26,169
30,88,89,5,177
54,25,2,65,92
32,86,23,67,109
56,13,71,9,93
56,43,37,89,169
25,85,67,83,85
59,33,15,26,74
55,31,6,46,83
42,68,85,38,191
21,68,59,33,68
45,25,39,17,81
31,50,79,64,129
33,84,23,78,107
28,20,80,19,20
59,66,46,100,212
48,20,42,47,109
29,22,2,27,22
22,84,34,22,84
37,90,32,30,122
21,72,18,93,72
49,25,22,14,61
51,95,84,23,202
34,44,37,27,81
60,48,84,56,188
31,54,33,9,87
41,12,77,35,124
39,21,12,29,33
33,15,47,53,62
51,78,84,5,167
46,63,44,10,117
23,87,60,83,87
43,69,66,98,233
40,85,15,5,105
54,27,10,32,69
29,84,74,59,84
35,79,48,98,127
28,26,95,66,26
54,10,30,68,108
34,89,100,55,189
56,13,74,76,163
25,31,42,90,31
58,76,66,41,183
55,16,9,17,42
31,16,96,74,112
46,37,25,7,69
54,53,25,8,86
41,74,42,27,143
41,11,83,12,106
56,36,70,93,199
50,51,52,46,149
25,73,92,30,73
32,16,13,55,29
58,58,11,98,167
60,52,99,89,240
53,79,39,30,148
50,17,51,10,78
45,71,21,52,144
51,29,80,88,197
42,44,72,48,164
47,38,27,19,84
28,82,83,96,82
56,16,3,37,56
39,67,70,56,137
52,31,100,8,139
24,13,34,56,13
24,51,15,50,51
51,16,40,20,76
23,63,35,54,63
43,84,46,17,147
40,25,63,65,153
30,1,85,76,86
40,67,17,2,86
46,31,86,100,217
37,45,50,59,95
31,43,69,100,112
34,74,18,58,92
58,81,51,91,223
37,79,68,30,147
31,18,91,37,109
44,37,2,13,52
49,44,16,32,92
43,98,54,42,194
25,74,95,26,74
28,21,86,76,21
41,38,26,9,73
39,20,5,67,25
47,26,45,23,94
50,84,19,65,168
49,12,84,60,156
39,55,79,13,134
49,31,50,5,86
40,83,40,63,186
46,26,69,42,137
51,58,94,24,176
48,2,69,46,117
35,99,14,23,113
51,56,96,84,236
36,35,23,6,58
45,84,56,39,179
27,41,82,99,41
54,59,15,57,131
25,48,1,58,48
35,45,72,19,117
55,58,98,4,160
42,38,92,88,218
37,63,88,66,151
23,69,16,4,69
43,61,26,3,90
22,98,2,61,98
48,21,96,39,156
28,91,27,74,91
40,77,73,62,212
44,10,20,3,33
25,57,18,22,57
49,96,12,50,158
30,97,93,5,190
49,45,25,2,72
39,60,58,3,118
42,91,49,81,221
35,100,27,84,127
51,22,94,81,197
22,33,6,77,33
20,98,93,54,98
39,51,93,47,144
31,75,65,89,140
31,12,10,10,22
51,70,78,94,242
39,99,51,43,150
27,53,98,45,53
31,23,8,25,31
22,10,25,67,10
21,64,33,37,64
43,10,86,82,178
56,24,55,89,168
48,55,29,12,96
60,50,90,25,165
48,68,46,65,179
35,11,37,67,48
40,59,98,57,214
55,93,74,86,253
46,92,92,2,186
32,2,25,22,27
54,9,52,76,137
51,20,23,84,127
56,28,1,75,104
45,42,94,24,160
24,39,100,80,39
20,66,23,53,66
50,55,84,59,198
37,81,70,30,151
59,84,61,68,213
30,97,51,24,148
32,4,14,50,18
28,95,65,93,95
53,13,27,79,119
38,41,41,25,82
41,39,71,68,178
50,85,70,32,187
20,28,69,42,28
24,35,78,36,35
41,77,13,70,160
39,21,3,26,24
48,1,17,39,57
24,71,37,32,71
59,83,66,93,242
52,44,31,61,136
43,69,46,65,180
41,48,64,8,120
26,68,44,42,68
29,40,91,39,40
58,95,9,93,197
48,27,32,67,126
56,89,36,12,137
26,40,22,86,40
34,60,96,33,156
45,11,88,94,193
25,95,61,53,95
54,67,60,3,130
33,100,87,10,187
31,91,41,91,132
23,96,5,43,96
29,74,56,69,74
31,17,67,93,84
52,20,56,48,124
56,3,31,84,118
31,53,2,1,55
60,88,28,83,199
25,75,64,16,75
60,46,85,87,218
60,90,10,98,198
50,7,57,87,151
60,50,95,27,172
47,77,57,72,206
50,53,57,11,121
40,34,65,89,188
39,7,81,46,88
41,69,39,55,163
33,12,70,67,82
55,55,58,37,150
24,5,14,36,5
56,8,23,33,64
50,64,76,97,237
37,50,37,29,87
29,34,33,62,34
44,25,24,54,103
42,47,62,45,154
49,67,29,3,99
56,58,4,22,84
29,81,36,95,81
32,53,25,84,78
48,3,18,70,91
27,46,50,100,46
47,21,96,59,176
28,79,48,38,79
55,1,32,10,43
33,63,16,80,79
60,72,79,19,170
29,70,34,100,70
32,57,41,45,98
44,57,40,16,113
29,50,44,76,50
22,41,7,11,41
46,70,2,39,111
29,71,61,49,71
35,75,55,38,130
53,37,48,67,152
35,67,58,80,125
55,97,30,28,155
54,97,88,33,218
41,62,80,29,171
22,89,10,84,89
41,43,85,88,216
26,23,15,58,23
22,68,16,20,68
52,76,89,56,221
39,45,44,84,89
58,68,16,40,124
29,88,72,12,88
57,14,73,61,148
36,62,40,8,102
24,23,19,98,23
47,33,23,81,137
49,14,36,31,81
31,29,92,27,121
27,31,66,81,31
59,96,51,30,177
60,45,100,12,157
28,33,99,32,33
55,19,86,84,189
42,77,10,90,177
43,67,50,15,132
48,72,86,27,185
32,88,95,93,183
27,44,78,96,44
37,25,47,20,72
39,54,39,13,93
36,97,67,97,164
30,48,68,10,116
26,22,73,73,22
21,17,91,90,17
22,9,89,87,9
55,46,48,97,191
53,58,55,39,152
27,9,35,44,9
48,62,39,18,119
38,37,28,84,65
42,66,43,83,192
41,66,92,80,238
20,82,18,85,82
43,75,90,28,193
41,76,61,39,176
53,23,75,14,112
35,90,20,19,110
50,67,81,8,156
37,89,60,84,149
36,31,2,80,33
33,9,41,65,50
45,100,36,7,143
28,47,19,71,47
54,33,55,9,97
50,86,55,85,226
41,56,34,48,138
59,52,91,68,211
22,32,2,79,32
29,96,93,79,96
55,37,38,8,83
51,98,53,27,178
21,89,4,65,89
38,24,48,78,72
58,23,89,55,167
46,26,72,35,133
48,93,18,49,160
56,41,72,58,171
49,34,63,16,113
52,39,100,80,219
42,30,37,38,105
38,1,6,17,7
47,72,4,3,79
41,67,61,81,209
54,22,56,12,90
41,91,64,8,163
33,88,21,14,109
56,23,36,82,141
40,18,30,19,67
40,81,8,73,162
52,97,50,35,182
57,77,91,65,233
39,71,85,67,156
30,44,80,51,124
57,66,20,9,95
49,46,14,68,128
51,1,42,41,84
50,84,48,41,173
42,2,74,63,139
30,25,73,59,98
25,23,43,1,23
43,6,11,56,73
21,93,55,84,93
58,54,77,24,155
57,52,11,69,132
21,25,62,66,25
24,10,9,49,10
46,64,76,75,215
29,53,28,21,53
44,91,86,63,240
30,69,58,19,127
24,55,50,81,55
24,98,88,17,98
23,88,64,58,88
25,20,29,84,20
50,71,38,75,184
50,24,43,71,138
58,76,78,49,203
32,50,58,4,108
46,27,47,53,127
58,47,94,69,210
47,86,29,77,192
52,65,95,89,249
21,29,93,91,29
53,78,68,25,171
52,4,54,29,87
34,12,29,61,41
39,51,85,55,136
35,19,2,32,21
48,29,11,86,126
31,74,40,76,114
28,13,2,68,13
33,40,48,21,88
31,85,59,37,144
46,63,93,32,188
51,31,52,6,89
44,93,77,98,268
35,39,39,41,78
29,47,56,20,47
24,53,77,56,53
56,85,48,85,218
36,71,27,37,98
31,37,21,97,58
37,64,72,44,136
57,36,76,94,206
24,92,86,34,92
27,5,68,42,5
30,2,31,10,33
40,67,78,66,211
48,40,82,8,130
20,55,6,89,55
53,43,36,60,139
43,35,26,34,95
59,98,19,70,187
31,57,65,41,122
21,18,16,57,18
37,17,63,27,80
29,83,72,69,83
38,93,47,87,140
44,2,94,95,191
37,6,34,46,40
33,14,12,71,26
52,68,75,21,164
48,89,21,18,128
37,14,90,89,104
59,97,89,53,239
24,14,28,71,14
36,27,96,75,123
25,37,18,1,37
38,43,47,89,90
51,53,8,100,161
30,59,19,7,78
20,50,87,3,50
39,58,98,31,156
48,15,22,26,63
23,44,20,36,44
29,45,87,11,45
41,50,55,67,172
53,7,68,86,161
21,79,31,71,79
27,17,67,48,17
44,6,82,14,102
36,28,29,45,57
45,80,7,73,160
56,81,4,74,159
39,91,45,5,136
58,4,6,88,98
32,86,38,96,124
56,36,89,4,129
58,7,62,78,147
43,77,9,38,124
25,26,32,98,26
44,2,73,1,76
30,29,40,72,69
48,16,13,93,122
32,10,63,36,73
21,10,88,98,10
22,46,24,93,46
50,100,11,58,169
40,79,33,24,136
50,57,59,69,185
37,63,59,16,122
40,6,59,88,153
27,42,41,32,42
26,93,14,50,93
33,15,69,3,84
54,18,92,93,203
32,78,15,75,93
39,52,99,44,151
58,29,93,5,127
37,55,40,52,95
21,11,16,45,11
29,69,90,45,69
31,68,70,20,138
48,37,91,47,175
21,95,58,35,95
52,86,3,76,165
35,93,91,66,184
57,85,34,41,160
37,7,44,25,51
52,62,83,72,217
31,45,85,32,130
53,45,72,55,172
21,67,97,82,67
36,97,34,91,131
27,54,8,66,54
55,85,65,74,224
41,59,39,22,120
55,12,24,18,54
26,43,57,11,43
32,40,95,9,135
54,27,17,84,128
51,15,52,61,128
29,42,25,46,42
55,51,90,5,146
26,95,56,22,95
31,19,16,28,35
41,84,79,5,168
49,27,7,56,90
23,53,61,22,53
45,23,45,34,102
32,61,7,38,68
24,20,8,39,20
50,42,68,25,135
56,97,81,83,261
52,76,40,61,177
24,42,90,65,42
53,47,72,79,198
36,12,32,1,44
37,75,75,5,150
38,42,76,26,118
23,81,2,61,81
58,93,67,35,195
57,6,79,7,92
59,83,54,59,196
53,54,98,50,202
35,82,12,68,94
56,78,53,91,222
46,29,99,54,182
46,11,24,25,60
52,92,82,9,183
40,8,41,13,62
58,62,87,20,169
26,25,13,29,25
60,28,54,78,160
49,85,40,35,160
41,53,5,26,84
44,40,13,16,69
50,80,56,8,144
35,78,43,55,121
47,75,18,72,165
50,55,71,15,141
20,8,5,47,8
53,84,100,18,202
30,49,21,1,70
21,12,53,23,12
52,99,11,6,116
41,11,27,20,58
38,94,58,45,152
57,56,78,69,203
30,66,7,60,73
47,59,12,50,121
39,29,6,81,35
25,80,77,99,80
45,6,76,45,127
35,78,94,78,172
29,100,17,51,100
56,32,23,79,134
23,77,20,97,77
43,2,3,9,14
34,83,4,86,87
33,55,32,51,87
24,49,80,42,49
44,1,61,64,126
26,63,79,88,63
34,18,40,31,58
29,38,50,54,38
54,54,40,24,118
30,22,77,87,99
48,82,30,47,159
22,82,54,77,82
30,23,92,22,115
42,21,71,6,98
56,99,5,36,140
26,2,74,49,2
28,34,5,32,34
45,72,47,82,201
46,30,27,99,156
26,72,91,54,72
53,70,21,33,124
42,40,19,69,128
45,74,37,68,179
29,74,71,30,74
53,43,38,33,114
24,90,71,31,90
21,89,25,92,89
35,59,47,59,106
45,77,66,5,148
53,31,66,28,125
23,8,5,22,8
49,12,81,83,176
39,31,44,32,75
55,12,35,25,72
47,94,23,17,134
42,57,33,34,124
59,79,86,62,227
57,73,1,33,107
35,45,95,18,140
37,2,70,8,72
57,88,19,88,195
21,57,34,31,57
41,59,21,14,94
33,42,66,13,108
57,88,91,95,274
56,16,8,86,110
28,62,94,69,62
36,8,14,18,22
22,100,4,11,100
38,13,86,98,99
31,17,61,63,78
24,91,100,51,91
55,57,38,55,150
48,38,70,9,117
26,32,77,34,32
35,42,82,41,124
60,43,27,66,136
60,17,39,59,115
27,6,23,25,6
24,72,64,4,72
35,87,41,45,128
50,65,29,73,167
33,58,86,42,144
42,21,71,82,174
30,67,100,100,167
23,87,24,36,87
56,79,93,32,204
44,77,30,19,126
51,6,29,57,92
57,14,19,22,55
45,92,38,56,186
50,72,41,55,168
38,59,39,68,98
48,75,46,29,150
40,6,4,42,52
30,58,94,1,152
29,78,22,42,78
37,66,8,42,74
30,22,15,74,37
51,14,52,41,107
52,77,58,80,215
57,88,63,23,174
20,73,3,66,73
35,74,93,55,167
29,55,100,68,55
40,59,3,45,107
31,73,74,19,147
60,7,68,5,80
43,45,10,96,151
39,84,45,3,129
53,79,50,11,140
27,70,68,35,70
36,99,39,73,138
38,77,78,93,155
45,53,13,21,87
55,97,65,75,237
56,37,11,24,72
36,28,16,45,44
42,8,33,41,82
59,24,70,96,190
34,37,9,55,46
33,78,66,83,144
36,16,6,19,22
43,33,44,28,105
34,1,10,40,11
32,35,68,62,103
46,76,85,25,186
40,7,1,19,27
49,75,35,43,153
40,94,60,10,164
39,47,93,55,140
25,4,81,83,4
60,46,45,100,191
27,25,56,44,25
36,77,68,96,145
52,15,39,71,125
45,18,66,27,111
44,64,60,33,157
25,79,29,31,79
20,52,48,62,52
59,91,98,54,243
29,55,49,46,55
36,45,72,2,117
40,17,92,42,151
44,78,67,55,200
51,80,72,95,247
26,28,48,6,28
31,32,26,42,58
22,30,31,58,30
56,82,25,69,176
40,51,47,63,161
22,96,93,64,96
24,40,18,74,40
35,50,77,86,127
60,40,24,52,116
56,44,10,14,68
52,36,7,76,119
56,88,12,4,104
53,82,44,76,202
50,21,25,91,137
24,57,31,95,57
20,35,82,43,35
27,92,68,62,92
38,2,62,80,64
26,28,97,14,28
57,100,75,25,200
36,65,84,78,149
40,99,15,73,187
32,7,62,74,69
26,17,95,40,17
47,27,9,59,95
40,49,17,11,77
46,4,22,31,57
60,64,6,81,151
32,25,75,83,100
59,63,77,22,162
54,52,1,72,125
32,77,99,48,176
56,75,57,47,179
51,71,20,96,187
27,99,14,27,99
32,16,16,18,32
56,99,5,65,169
47,58,71,19,148
38,16,50,49,66
57,57,71,46,174
42,45,3,53,101
28,76,82,48,76
36,91,100,9,191
38,55,63,51,118
28,55,39,29,55
57,97,14,63,174
49,12,25,47,84
40,97,99,52,248
29,91,22,32,91
55,53,7,38,98
42,91,74,69,234
47,68,7,45,120
55,34,88,63,185
35,29,69,58,98
41,13,35,79,127
43,87,4,92,183
30,27,63,89,90
49,60,57,94,211
38,10,52,39,62
59,39,10,32,81
25,66,77,7,66
22,100,8,33,100
59,12,39,61,112
52,34,82,94,210
60,62,81,1,144
54,23,82,78,183
23,64,15,57,64
40,91,79,91,261
42,10,46,34,90
28,42,72,94,42
42,57,55,56,168
55,3,91,29,123
34,68,84,6,152
29,23,62,28,23
45,41,42,91,174
29,13,69,97,13
41,10,23,47,80
58,52,53,13,118
54,68,44,65,177
22,30,44,4,30
44,65,60,31,156
31,85,30,49,115
20,49,20,93,49
36,47,68,66,115
50,12,15,92,119
32,5,20,56,25
37,36,82,78,118
46,10,80,58,148
30,97,75,4,172
25,32,20,18,32
57,89,80,67,236
60,25,17,45,87
42,68,44,49,161
28,61,25,86,61
60,10,59,18,87
40,7,1,50,58
24,81,63,23,81
47,64,33,36,133
54,37,40,96,173
48,10,85,30,125
22,59,70,79,59
22,40,93,82,40
27,44,45,69,44
32,89,6,13,95
49,41,60,55,156
45,29,71,68,168
32,72,91,19,163
58,75,94,50,219
36,54,77,75,131
55,38,23,53,114
39,4,19,94,23
23,67,8,10,67
34,99,93,40,192
26,45,99,58,45
35,87,70,5,157
46,16,21,95,132
48,15,86,6,107
46,57,86,82,225
56,6,54,82,142
37,90,23,20,113
58,71,16,20,107
50,43,51,36,130
37,68,62,73,130
50,97,34,61,192
34,42,18,82,60
26,7,82,63,7
35,77,64,73,141
31,7,70,33,77
34,48,99,74,147
42,95,33,41,169
31,84,5,38,89
45,44,31,92,167
57,33,74,54,161
35,44,32,65,76
20,82,66,59,82
28,89,7,68,89
59,33,30,52,115
58,27,28,53,108
49,23,76,75,174
36,38,64,57,102
26,10,9,80,10
60,13,100,11,124
56,2,79,94,175
55,41,95,30,166
22,13,92,97,13
60,39,31,67,137
51,95,96,40,231
23,66,11,45,66
46,68,66,33,167
23,75,86,6,75
45,90,69,13,172
24,3,39,93,3
29,25,52,74,25
34,70,7,34,77
31,58,40,63,98
33,73,97,17,170
43,51,28,97,176
39,65,13,51,78
42,56,19,76,151
25,62,58,1,62
23,14,86,31,14
42,17,73,27,117
48,48,34,94,176
33,57,41,43,98
33,32,94,96,126
55,12,58,32,102
22,36,5,37,36
49,81,66,2,149
30,57,85,78,142
40,16,59,7,82
42,92,95,66,253
26,40,81,62,40
37,29,23,58,52
22,57,34,96,57
30,83,59,71,142
57,49,14,69,132
21,33,53,97,33
21,52,85,2,52
41,80,27,21,128
49,38,84,10,132
32,11,26,29,37
21,96,38,50,96
49,74,77,55,206
33,13,26,62,39
21,55,24,26,55
55,71,18,10,99
48,23,26,79,128
22,29,59,2,29
50,9,90,93,192
44,71,98,95,264
48,32,81,34,147
53,70,94,76,240
35,40,63,47,103
56,74,18,33,125
60,38,70,24,132
45,2,41,89,132
45,82,36,69,187
23,16,53,99,16
42,38,10,79,127
26,78,50,55,78
52,57,92,25,174
41,42,10,61,113
45,50,61,26,137
27,7,81,66,7
22,34,62,29,34
21,12,89,77,12
38,82,36,14,118
28,78,64,50,78
57,36,22,42,100
24,77,40,16,77
57,30,66,2,98
47,47,39,60,146
41,89,91,14,194
56,91,2,32,125
22,97,50,86,97
24,3,51,100,3
39,39,37,86,76
43,68,44,43,155
36,14,19,100,33
51,34,90,56,180
32,89,91,17,180
58,2,82,72,156
50,66,28,38,132
50,51,26,80,157
25,42,17,79,42
42,21,47,17,85
34,88,79,65,167
33,39,21,97,60
39,27,92,34,119
24,13,53,42,13
33,51,15,53,66
20,54,78,56,54
60,46,2,1,49
59,60,57,52,169
38,84,15,27,99
33,45,50,63,95
28,97,52,70,97
46,54,5,46,105
52,50,15,37,102
55,89,95,42,226
36,28,85,76,113
37,61,52,16,113
24,26,34,72,26
34,24,68,90,92
20,20,81,78,20
42,29,90,42,161
26,72,36,52,72
31,91,19,89,110
57,47,65,49,161
23,15,8,42,15
49,90,54,65,209
50,35,28,92,155
37,96,40,61,136
59,80,12,27,119
38,56,8,89,64
37,45,75,50,120
57,47,46,49,142
32,23,42,16,65
35,87,54,41,141
32,94,47,90,141
56,11,81,14,106
43,50,100,88,238
49,30,3,70,103
57,1,67,82,150
46,99,77,99,275
52,56,18,18,92
32,20,86,63,106
21,13,17,94,13
54,53,15,13,81
44,46,42,22,110
48,51,88,12,151
32,38,26,81,64
43,1,98,60,159
50,69,81,95,245
42,64,35,76,175
38,30,29,8,59
45,21,16,85,122
39,27,59,52,86
44,30,3,19,52
32,13,64,65,77
48,96,48,6,150
39,17,7,12,24
54,31,70,93,194
33,63,77,25,140
34,45,48,29,93
45,51,69,62,182
46,54,35,95,184
34,90,5,50,95
45,29,33,12,74
38,61,88,44,149
39,94,80,43,174
42,6,17,27,50
39,90,49,66,139
29,6,95,75,6
27,26,73,100,26
30,20,38,30,58
57,11,72,51,134
24,9,23,48,9
25,47,64,49,47
47,92,69,31,192
51,10,54,79,143
56,99,35,10,144
43,57,16,87,160
42,46,53,59,158
57,17,50,86,153
52,50,37,66,153
32,43,25,40,68
24,60,76,11,60
45,11,70,24,105
29,39,20,79,39
33,91,44,37,135
47,36,13,28,77
39,22,41,13,63
41,15,80,73,168
46,40,94,9,143
53,43,9,94,146
51,28,84,62,174
31,18,44,57,62
42,92,92,14,198
22,86,8,14,86
59,3,49,99,151
45,35,37,47,119
25,15,11,6,15
48,77,27,16,120
51,80,51,52,183
46,45,21,60,126
33,9,95,60,104
51,22,87,27,136
